ALBAS,46140,JA001,VECT
ALBIAC,46500,JA002,VECT
ALVIGNAC,46500,JA003,VECT
ANGLARS,46120,JA004,VECT
ANGLARS-JUILLAC,46140,JA005,VECT
ANGLARS-NOZAC,46300,JA006,VECT
ARCAMBAL,46090,JA007,VECT
ASSIER,46320,JA009,VECT
AUJOLS,46090,JA010,VECT
AUTOIRE,46400,JA011,VECT
AYNAC,46120,JA012,VECT
BACH,46230,JA013,VECT
BAGAT EN QUERCY,46800,JA014,VECT
BAGNAC-SUR-CELE,46270,JA015,VECT
BALADOU,46600,JA016,VECT
BANNES,46400,JA017,VECT
BEAUMAT,46240,JA019,VECT
BEAUREGARD,46260,JA020,VECT
BEDUER,46100,JA021,VECT
BELAYE,46140,JA022,VECT
BELFORT DU QUERCY,46230,JA023,VECT
BELMONT STE-FOI,46230,JA026,VECT
BELMONT-BRETENOUX,46130,JA024,VECT
BELMONTET,46800,JA025,VECT
BERGANTY,46090,JA027,VECT
BESSONIES,46210,JA338,VECT
BETAILLE,46110,JA028,VECT
BIARS SUR CERE,46130,JA029,VECT
BIO,46500,JA030,VECT
BLARS,46330,JA031,VECT
BOISSIERES,46150,JA032,VECT
BOUSSAC,46100,JA035,VECT
BOUZIES,46330,JA037,VECT
BRENGUES,46320,JA039,VECT
BRETENOUX,46130,JA038,VECT
CABRERETS,46330,JA040,VECT
CADRIEU,46160,JA041,VECT
CAHORS,46000,JA042,VECT
CAHUS,46130,JA043,VECT
CAILLAC,46140,JA044,VECT
CAJARC,46160,JA045,VECT
CALAMANE,46150,JA046,VECT
CALES,46350,JA047,VECT
CALVIAC,46190,JA048,VECT
CALVIGNAC,46160,JA049,VECT
CAMBAYRAC,46140,JA050,VECT
CAMBES,46100,JA051,VECT
CAMBOULIT,46100,JA052,VECT
CAMBURAT,46100,JA053,VECT
CANIAC DU CAUSSE,46240,JA054,VECT
CAPDENAC,46100,JA055,VECT
CARAYAC,46160,JA056,VECT
CARDAILLAC,46100,JA057,VECT
CARENNAC,46110,JA058,VECT
CARLUCET,46500,JA059,VECT
CARNAC-ROUFFIAC,46140,JA060,VECT
CASSAGNES,46700,JA061,VECT
CASTELFRANC,46140,JA062,VECT
CASTELNAU-MONTRATIER,46170,JA063,VECT
CATUS,46150,JA064,VECT
CAVAGNAC,46110,JA065,VECT
CAZALS,46250,JA066,VECT
CAZILLAC,46600,JA067,VECT
CENEVIERES,46330,JA068,VECT
CEZAC,46170,JA069,VECT
CIEURAC,46230,JA070,VECT
COMIAC,46190,JA071,VECT
CONCORES,46310,JA072,VECT
CONCOTS,46260,JA073,VECT
CONDAT,46110,JA074,VECT
CORN,46100,JA075,VECT
CORNAC,46130,JA076,VECT
COURS,46090,JA077,VECT
COUZOU,46500,JA078,VECT
CRAS,46360,JA079,VECT
CRAYSSAC,46150,JA080,VECT
CREGOLS,46330,JA081,VECT
CREMPS,46230,JA082,VECT
CRESSENSAC,46600,JA083,VECT
CREYSSE,46600,JA084,VECT
CUZAC,46270,JA085,VECT
CUZANCE,46600,JA086,VECT
DEGAGNAC,46340,JA087,VECT
DOUELLE,46140,JA088,VECT
DURAVEL,46700,JA089,VECT
DURBANS,46320,JA090,VECT
ESCAMPS,46230,JA091,VECT
ESCLAUZELS,46090,JA092,VECT
ESPAGNAC-SAINTE-EULALIE,46320,JA093,VECT
ESPEDAILLAC,46320,JA094,VECT
ESPERE,46090,JA095,VECT
ESPEYROUX,46120,JA096,VECT
ESTAL,46130,JA097,VECT
FAJOLES,46300,JA098,VECT
FARGUES,46800,JA099,VECT
FAYCELLES,46100,JA100,VECT
FELZINS,46270,JA101,VECT
FIGEAC,46100,JA102,VECT
FLAUGNAC,46170,JA103,VECT
FLAUJAC-GARE,46320,JA104,VECT
FLAUJAC-POUJOLS,46090,JA105,VECT
FLOIRAC,46600,JA106,VECT
FLORESSAS,46700,JA107,VECT
FONS,46100,JA108,VECT
FONTANES,46230,JA109,VECT
FONTANES DU CAUSSE,46240,JA110,VECT
FOURMAGNAC,46100,JA111,VECT
FRANCOULES,46090,JA112,VECT
FRAYSSINET,46310,JA113,VECT
FRAYSSINET-LE-GELAT,46250,JA114,VECT
FRAYSSINHES,46400,JA115,VECT
FRONTENAC,46160,JA116,VECT
GAGNAC SUR CERE,46130,JA117,VECT
GIGNAC,46600,JA118,VECT
GIGOUZAC,46150,JA119,VECT
GINDOU,46250,JA120,VECT
GINOUILLAC,46300,JA121,VECT
GINTRAC,46130,JA122,VECT
GIRAC,46130,JA123,VECT
GLANES,46130,JA124,VECT
GORSES,46210,JA125,VECT
GOUJOUNAC,46250,JA126,VECT
GOURDON,46300,JA127,VECT
GRAMAT,46500,JA128,VECT
GREALOU,46160,JA129,VECT
GREZELS,46700,JA130,VECT
GREZES,46320,JA131,VECT
ISSENDOLUS,46500,JA132,VECT
ISSEPTS,46320,JA133,VECT
LABASTIDE MURAT,46240,JA138,VECT
LABASTIDE-DU-HAUT-MONT,46210,JA135,VECT
LABASTIDE-DU-VERT,46150,JA136,VECT
LABASTIDE-MARNHAC,46090,JA137,VECT
LABATHUDE,46120,JA139,VECT
LABURGADE,46230,JA140,VECT
LACAMDOURCET,46190,JA141,VECT
LACAPELLE-CABANAC,46700,JA142,VECT
LACAPELLE-MARIVAL,46120,JA143,VECT
LACAVE,46200,JA144,VECT
LACHAPELLE-AUZAC,46200,JA145,VECT
LADIRAT,46400,JA146,VECT
LAGARDELLE,46220,JA147,VECT
LALBENQUE,46230,JA148,VECT
LAMAGDELAINE,46090,JA149,VECT
LAMATIVIE,46190,JA150,VECT
LAMOTHE-CASSEL,46240,JA151,VECT
LAMOTHE-FENELON,46350,JA152,VECT
LANZAC,46200,JA153,VECT
LARAMIERE,46260,JA154,VECT
LARNAGOL,46160,JA155,VECT
LAROQUE DES ARCS,46090,JA156,VECT
LARROQUE TOIRAC,46160,JA157,VECT
LASCABANES,46800,JA158,VECT
LATOUILLE-LENTILLAC,46400,JA159,VECT
LATRONQUIERE,46210,JA160,VECT
LAURESSES,46210,JA161,VECT
LAUZES,46360,JA162,VECT
LAVAL DE CERE,46130,JA163,VECT
LAVERCANTIERE,46340,JA164,VECT
LAVERGNE,46500,JA165,VECT
LE BASTIT,46500,JA018,VECT
LE BOULVE,46800,JA033,VECT
LE BOURG,46120,JA034,VECT
LE BOUYSSOU,46120,JA036,VECT
LE MONTAT,46090,JA197,VECT
LE ROC,46200,JA239,VECT
LE VIGAN,46300,JA334,VECT
LEBREIL,46800,JA166,VECT
LENTILLAC DU CAUSSE,46330,JA167,VECT
LENTILLAC-ST-BLAISE,46100,JA168,VECT
LEOBARD,46300,JA169,VECT
LES ARQUES,46250,JA008,VECT
LES JUNIES,46150,JA134,VECT
LES QUATRE ROUTES,46110,JA232,VECT
LEYME,46120,JA170,VECT
LHERM,46150,JA171,VECT
LHOSPITALET,46170,JA172,VECT
LIMOGNE-EN-QUERCY,46260,JA173,VECT
LINAC,46270,JA174,VECT
