ABERGEMENT-DE-VAREY (L ),01640,40002,VECT
AMBERIEU-EN-BUGEY,01500,40004,VECT
AMBERIEUX-EN-DOMBES,01330,41005,VECT
AMBLEON,01300,40006,VECT
AMBRONAY,01500,40007,VECT
AMBUTRIX,01500,40008,VECT
ANDERT-CONDON,01300,40009,VECT
ANGLEFORT,01350,40010,VECT
APREMONT,01100,40011,VECT
ARANC,01110,40012,VECT
ARANDAS,01230,40013,VECT
ARBENT,01100,40014,VECT
ARBIGNIEU,01300,40015,VECT
ARBIGNY,01190,42016,VECT
ARGIS,01230,40017,VECT
ARMIX,01510,40019,VECT
ARS-SUR-FORMANS,01480,41021,VECT
ARTEMARE,01510,40022,VECT
ASNIERES-SUR-SAONE,01570,42023,VECT
ATTIGNAT,01340,42024,VECT
BAGE-LA-VILLE,01380,42025,VECT
BAGE-LE-CHATEL,01380,42026,VECT
BALAN,01360,41027,VECT
BANEINS,01990,41028,VECT
BEARD-GEOVREISSIAT,01460,40170,VECT
BEAUPONT,01270,42029,VECT
BEAUREGARD,01480,41030,VECT
BELIGNEUX,01360,41032,VECT
BELLEGARDE-SUR-VALSERINE,01200,40033,VECT
BELLEY,01300,40034,VECT
BELLEYDOUX,01130,40035,VECT
BELLIGNAT,01100,40031,VECT
BELMONT-LUTHEZIEU,01260,40036,VECT
BENONCES,01470,40037,VECT
BENY,01370,42038,VECT
BEON,01350,40039,VECT
BEREZIAT,01340,42040,VECT
BETTANT,01500,40041,VECT
BEY,01290,42042,VECT
BEYNOST,01700,41043,VECT
BILLIAT,01200,40044,VECT
BIRIEUX,01330,41045,VECT
BIZIAT,01290,41046,VECT
BLYES,01150,40047,VECT
BOHAS-MEYRIAT-RIGNAT,01250,42245,VECT
BOISSEY,01380,42050,VECT
BOLOZON,01450,40051,VECT
BOULIGNEUX,01330,41052,VECT
BOURG-EN-BRESSE,01000,42053,VECT
BOURG-SAINT-CHRISTOPHE,01800,41054,VECT
BOYEUX-SAINT-JEROME,01640,40056,VECT
BOZ,01190,42057,VECT
BREGNIER-CORDON,01300,40058,VECT
BRENAZ,01260,40059,VECT
BRENOD,01110,40060,VECT
BRENS,01300,40061,VECT
BRESSOLLES,01360,41062,VECT
BRION,01460,40063,VECT
BRIORD,01470,40064,VECT
BUELLAS,01310,42065,VECT
CEIGNES,01430,40067,VECT
CERDON,01450,40068,VECT
CERTINES,01240,42069,VECT
CESSY,01170,40071,VECT
CEYZERIAT,01250,42072,VECT
CEYZERIEU,01350,40073,VECT
CHALAMONT,01320,41074,VECT
CHALEINS,01480,41075,VECT
CHALEY,01230,40076,VECT
CHALLES-LA-MONTAGNE,01450,40077,VECT
CHALLEX,01630,40078,VECT
CHAMPAGNE-EN-VALROMEY,01260,40079,VECT
CHAMPDOR,01110,40080,VECT
CHAMPFROMIER,01410,40081,VECT
CHANAY,01420,40082,VECT
CHANEINS,01990,41083,VECT
CHANOZ-CHATENAY,01400,41084,VECT
CHARIX,01130,40087,VECT
CHARNOZ-SUR-AIN,01800,41088,VECT
CHATEAU-GAILLARD,01500,40089,VECT
CHATENAY,01320,41090,VECT
CHATILLON-EN-MICHAILLE,01200,40091,VECT
CHATILLON-LA-PALUD,01320,41092,VECT
CHATILLON-SUR-CHALARONNE,01400,41093,VECT
CHAVANNES-SUR-REYSSOUZE,01190,42094,VECT
CHAVANNES-SUR-SURAN,01250,42095,VECT
CHAVEYRIAT,01660,41096,VECT
CHAVORNAY,01510,40097,VECT
CHAZEY-BONS,01300,40098,VECT
CHAZEY-SUR-AIN,01150,40099,VECT
CHEIGNIEU-LA-BALME,01510,40100,VECT
CHEVILLARD,01430,40101,VECT
CHEVROUX,01190,42102,VECT
CHEVRY,01170,40103,VECT
CHEZERY-FORENS,01410,40104,VECT
CIVRIEUX,01390,41105,VECT
CIZE,01250,42106,VECT
CLEYZIEU,01230,40107,VECT
