ALENYA,66200,Q0002,VECT
AMELIE LES BAINS,66110,Q0003,VECT
ANGOUSTRINE VILLENEUVE DES,66760,Q0005,IMAG
ANSIGNAN,66220,Q0006,VECT
ARBOUSSOLS,66320,Q0007,IMAG
ARGELES SUR MER,66700,Q0008,VECT
ARLES SUR TECH,66150,Q0009,IMAG
AYGUATEBIA TALAU,66360,Q0010,IMAG
BAGES,66670,Q0011,IMAG
BAHO,66540,Q0012,VECT
BAILLESTAVY,66320,Q0013,IMAG
BAIXAS,66390,Q0014,VECT
BANYULS DELS ASPRES,66300,Q0015,VECT
BANYULS SUR MER,66650,Q0016,VECT
BELESTA,66720,Q0019,VECT
BOLQUERE,66210,Q0020,VECT
BOMPAS,66430,Q0021,VECT
BOULE D AMONT,66130,Q0022,IMAG
BOULETERNERE,66130,Q0023,IMAG
BOURG MADAME,66760,Q0025,VECT
BROUILLA,66620,Q0026,VECT
CABESTANY,66330,Q0028,VECT
CAIXAS,66300,Q0029,VECT
CALCE,66600,Q0030,IMAG
CALMEILLES,66400,Q0032,VECT
CAMELAS,66300,Q0033,VECT
CAMPOME,66500,Q0034,IMAG
CAMPOUSSY,66730,Q0035,IMAG
CANAVEILLES,66360,Q0036,IMAG
CANET EN ROUSSILLON,66140,Q0037,VECT
CANOHES,66680,Q0038,VECT
CARAMANY,66720,Q0039,VECT
CASEFABRE,66130,Q0040,IMAG
CASES-DE-PENE,66600,Q0041,VECT
CASSAGNES,66720,Q0042,IMAG
CASTEIL,66820,Q0043,IMAG
CASTELNOU,66300,Q0044,VECT
CATLLAR,66500,Q0045,IMAG
CAUDIES DE CONFLENT,66360,Q0047,IMAG
CAUDIES DE FENOUILLEDES,66220,Q0046,VECT
CERBERE,66290,Q0048,VECT
CERET,66400,Q0049,VECT
CLAIRA,66530,Q0050,VECT
CLARA,66500,Q0051,IMAG
CODALET,66500,Q0052,VECT
COLLIOURE,66190,Q0053,VECT
CONAT,66500,Q0054,IMAG
CORBERE,66130,Q0055,IMAG
CORBERE LES CABANES,66130,Q0056,IMAG
CORNEILLA DE LA RIVIERE,66550,Q0058,IMAG
CORNEILLA DEL VERCOL,66200,Q0059,VECT
CORNEILLA-DE-CONFLENT,66820,Q0057,IMAG
CORSAVY,66150,Q0060,IMAG
COUSTOUGES,66260,Q0061,IMAG
DORRES,66760,Q0062,IMAG
EGAT,66120,Q0064,VECT
ELNE,66200,Q0065,VECT
ENVEITG,66760,Q0066,VECT
ERR,66800,Q0067,VECT
ESCARO,66360,Q0068,IMAG
ESPIRA DE CONFLENT,66320,Q0070,IMAG
ESPIRA DE L AGLY,66600,Q0069,VECT
ESTAGEL,66310,Q0071,IMAG
ESTAVAR,66800,Q0072,VECT
ESTOHER,66320,Q0073,IMAG
EUS ET COMES,66500,Q0074,IMAG
EYNE,66800,Q0075,VECT
FELLUNS,66730,Q0076,IMAG
FENOUILLET,66220,Q0077,VECT
FILLOLS,66820,Q0078,IMAG
FINESTRET,66320,Q0079,IMAG
FONTPEDROUSE,66360,Q0080,IMAG
FONTRABIOUSE,66210,Q0081,IMAG
FONT-ROMEU ODEILLO-VIA,66120,Q0124,VECT
FORMIGUERES,66210,Q0082,IMAG
FOSSE,66220,Q0083,VECT
FOURQUES,66300,Q0084,VECT
FUILLA,66820,Q0085,IMAG
GLORIANES,66320,Q0086,IMAG
ILLE SUR TET,66130,Q0088,VECT
JOCH,66320,Q0089,IMAG
JUJOLS,66360,Q0090,IMAG
L ALBERE,66480,Q0001,IMAG
LA BASTIDE,66110,Q0018,IMAG
LA CABANASSE,66210,Q0027,IMAG
LA LLAGONNE,66210,Q0098,IMAG
LAMANERE,66230,Q0091,IMAG
LANSAC,66720,Q0092,VECT
LAROQUE DES ALBERES,66740,Q0093,VECT
LATOUR BAS ELNE,66200,Q0094,VECT
LATOUR DE CAROL,66760,Q0095,VECT
LATOUR DE FRANCE,66720,Q0096,VECT
LE BARCARES,66420,Q0017,VECT
LE BOULOU,66160,Q0024,VECT
LE PERTHUS,66480,Q0137,VECT
LE SOLER,66270,Q0195,VECT
LE TECH,66230,Q0206,IMAG
LE VIVIER,66730,Q0234,IMAG
LES ANGLES,66210,Q0004,VECT
LES CLUSES,66480,Q0063,IMAG
LESQUERDE,66220,Q0097,VECT
LLAURO,66300,Q0099,VECT
LLO,66800,Q0100,IMAG
LLUPIA,66300,Q0101,VECT
LOS MASOS,66500,Q0104,VECT
MANTET,66360,Q0102,IMAG
MARQUIXANES,66320,Q0103,VECT
MATEMALE,66210,Q0105,VECT
MAUREILLAS LAS ILLAS,66480,Q0106,VECT
MAURY,66460,Q0107,VECT
MILLAS,66170,Q0108,VECT
MOLITG,66500,Q0109,IMAG
MONT LOUIS,66210,Q0117,VECT
MONTALBA LE CHATEAU,66130,Q0111,IMAG
MONTAURIOL,66300,Q0112,VECT
MONTBOLO,66110,Q0113,IMAG
MONTESCOT,66200,Q0114,VECT
MONTESQUIEU DES ALBERES,66740,Q0115,VECT
MONTFERRER,66150,Q0116,IMAG
MONTNER,66720,Q0118,IMAG
MOSSET,66500,Q0119,IMAG
NAHUJA,66340,Q0120,VECT
NEFIACH,66170,Q0121,VECT
NOHEDES,66500,Q0122,IMAG
NYER,66360,Q0123,IMAG
OLETTE,66360,Q0125,IMAG
OMS,66400,Q0126,VECT
OPOUL PERILLOS,66600,Q0127,IMAG
OREILLA,66360,Q0128,IMAG
ORTAFFA,66560,Q0129,VECT
OSSEJA,66340,Q0130,VECT
PALAU DE CERDAGNE,66340,Q0132,VECT
PALAU DEL VIDRE,66690,Q0133,VECT
PASSA,66300,Q0134,VECT
PERPIGNAN,66000,Q0136,VECT
PEYRESTORTES,66600,Q0138,VECT
PEZILLA DE CONFLENT,66730,Q0139,IMAG
PEZILLA DE LA RIVIERE,66370,Q0140,VECT
PIA,66380,Q0141,VECT
PLANES,66210,Q0142,IMAG
PLANEZES,66720,Q0143,VECT
POLLESTRES,66450,Q0144,VECT
PONTEILLA,66300,Q0145,VECT
PORTA,66760,Q0146,IMAG
PORTE PUYMORENS,66760,Q0147,VECT
PORT-VENDRES,66660,Q0148,VECT
PRADES,66500,Q0149,VECT
PRATS DE MOLLO-LA PRESTE,66230,Q0150,IMAG
PRATS DE SOURNIA,66730,Q0151,IMAG
PRUGNANES,66220,Q0152,VECT
PRUNET ET BELPUIG,66130,Q0153,IMAG
PUYVALADOR,66210,Q0154,IMAG
PY,66360,Q0155,IMAG
RABOUILLET,66730,Q0156,IMAG
RAILLEU,66360,Q0157,IMAG
RASIGUERES,66720,Q0158,VECT
REAL,66210,Q0159,IMAG
REYNES,66400,Q0160,IMAG
RIA SIRACH,66500,Q0161,IMAG
RIGARDA,66320,Q0162,IMAG
RIVESALTES,66600,Q0164,IMAG
RODES,66320,Q0165,IMAG
SAHORRE,66360,Q0166,IMAG
SAILLAGOUSE,66800,Q0167,VECT
SAINT NAZAIRE,66570,Q0186,VECT
SALEILLES,66280,Q0189,VECT
SALSES LE CHATEAU,66600,Q0190,IMAG
SANSA,66360,Q0191,IMAG
SAUTO,66210,Q0192,IMAG
SERDINYA,66360,Q0193,IMAG
SERRALONGUE,66230,Q0194,IMAG
SOREDE,66690,Q0196,VECT
SOUANYAS,66360,Q0197,IMAG
SOURNIA,66730,Q0198,IMAG
ST ANDRE,66690,Q0168,VECT
ST ARNAC,66220,Q0169,VECT
ST CYPRIEN,66750,Q0171,VECT
ST ESTEVE,66240,Q0172,VECT
ST FELIU D AMONT,66170,Q0173,VECT
