ABJAT SUR BANDIAT,24300,C0001,VECT
AGONAC,24460,C0002,IMAG
AJAT,24210,C0004,IMAG
ALLAS-LES-MINES,24220,C3006,IMAG
ALLEMANS,24600,C2007,IMAG
ALLES-SUR-DORDOGNE,24480,C1005,IMAG
ANGOISSE,24270,C0008,VECT
ANLHIAC,24160,C0009,IMAG
ANNESSE-ET-BEAULIEU,24430,C0010,VECT
ANTONNE ET TRIGONANT,24420,C0011,VECT
ARCHIGNAC,24590,C3012,IMAG
ATUR,24750,C0013,IMAG
AUBAS,24290,C3014,IMAG
AUDRIX,24260,C3015,IMAG
AUGIGNAC,24300,C0016,IMAG
AURIAC-DU-PERIGORD,24290,C3018,IMAG
AZERAT,24210,C0019,IMAG
BADEFOLS SUR DORDOGNE,24150,C1022,IMAG
BADEFOLS-D ANS,24390,C0021,IMAG
BANEUIL,24150,C1023,VECT
BARDOU,24560,C1024,IMAG
BARS,24210,C0025,IMAG
BASSILLAC,24330,C0026,VECT
BAYAC,24150,C1027,VECT
BEAUMONT,24440,C1028,IMAG
BEAUPOUYET,24400,C2029,IMAG
BEAUREGARD DE TERRASSON,24120,C3030,IMAG
BEAUREGARD ET BASSAC,24140,C1031,IMAG
BEAURONNE,24400,C2032,IMAG
BEAUSSAC,24340,C0033,VECT
BELEYMAS,24140,C1034,IMAG
BELVES,24170,C3035,IMAG
BERBIGUIERES,24220,C3036,IMAG
BERGERAC,24100,C1037,VECT
BERTRIC-BUREE,24320,C2038,IMAG
BESSE,24550,C3039,IMAG
BEYNAC-ET-CAZENAC,24220,C3040,IMAG
BEZENAC,24220,C3041,IMAG
BIRAS,24310,C2042,IMAG
BIRON,24540,C1043,IMAG
BLIS-ET-BORN,24330,C0044,IMAG
BOISSE,24560,C1045,IMAG
BOISSEUILH,24390,C0046,IMAG
BONNEVILLE ET ST AVIT FUM,24230,C1048,IMAG
BORREZE,24590,C3050,IMAG
BOSSET,24130,C1051,VECT
BOUILLAC,24480,C1052,IMAG
