ABONCOURT,57920,N4001,VECT
ABONCOURT-SUR-SEILLE,57590,N0002,VECT
ABRESCHVILLER,57560,N2003,VECT
ACHAIN,57340,N0004,VECT
ACHEN,57412,N3006,VECT
ADAINCOURT,57580,N1007,VECT
ADELANGE,57380,N1008,VECT
AJONCOURT,57590,N0009,VECT
ALAINCOURT-LA-COTE,57590,N0010,VECT
ALBESTROFF,57670,N0011,VECT
ALGRANGE,57440,N4012,VECT
ALSTING,57515,N1013,IMAG
ALTRIPPE,57660,N0014,VECT
ALTVILLER,57730,N1015,VECT
ALZING,57320,N5016,IMAG
AMANVILLERS,57865,N5017,VECT
AMELECOURT,57170,N0018,VECT
AMNEVILLE,57360,N5019,VECT
ANCERVILLE,57580,N5020,VECT
ANCY-SUR-MOSELLE,57130,N5021,IMAG
ANGEVILLERS,57440,N4022,VECT
ANTILLY,57640,N5024,VECT
ANZELING,57320,N5025,IMAG
APACH,57480,N4026,VECT
ARGANCY,57140,N5028,VECT
ARRAINCOURT,57380,N1027,VECT
ARRIANCE,57580,N1029,VECT
ARRY,57680,N5030,IMAG
ARS LAQUENEXY,57530,N5031,VECT
ARS SUR MOSELLE,57130,N5032,VECT
ARZVILLER,57405,N2033,VECT
ASPACH,57790,N2034,IMAG
ASSENONCOURT,57260,N2035,VECT
ATTILLONCOURT,57170,N0036,VECT
AUBE,57580,N5037,IMAG
AUDUN LE TICHE,57390,N4038,VECT
AUGNY,57685,N5039,VECT
AULNOIS-SUR-SEILLE,57590,N0040,VECT
AUMETZ,57710,N4041,IMAG
AVRICOURT,57810,N2042,VECT
AY SUR MOSELLE,57300,N5043,VECT
AZOUDANGE,57810,N2044,VECT
BACOURT,57590,N0045,VECT
BAERENTHAL,57230,N3046,VECT
BAMBIDERSTROFF,57690,N1047,VECT
BANNAY,57220,N5048,IMAG
BARCHAIN,57830,N2050,IMAG
BARONVILLE,57340,N0051,VECT
BARST,57450,N1052,IMAG
BASSE RENTGEN,57570,N4574,VECT
BASSE-HAM,57970,N4287,VECT
BASSING,57260,N0053,VECT
BAUDRECOURT,57580,N0054,VECT
BAZONCOURT,57530,N5055,VECT
BEBING,57830,N2056,VECT
BECHY,57580,N5057,VECT
BEHREN LES FORBACH,57460,N1058,VECT
BELLANGE,57340,N0059,VECT
BELLES FORETS,57930,N2086,VECT
BENESTROFF,57670,N0060,VECT
BENING-LES-SAINT-AVOLD,57800,N1061,IMAG
BERG-SUR-MOSELLE,57570,N4062,VECT
BERIG-VINTRANGE,57660,N0063,VECT
BERLING,57370,N2064,VECT
BERMERING,57340,N0065,VECT
BERTHELMING,57930,N2066,VECT
BERTRANGE,57310,N4067,IMAG
BERVILLER EN MOSELLE,57550,N5069,VECT
BETTANGE,57220,N5070,IMAG
BETTBORN,57930,N2071,VECT
