ABZAC,16500,90001,VECT
AGRIS,16110,90003,VECT
AIGNES-ET-PUYPEROUX,16190,90004,IMAG
AIGRE,16140,90005,VECT
ALLOUE,16490,90007,VECT
AMBERAC,16140,90008,VECT
AMBERNAC,16490,90009,VECT
AMBLEVILLE,16300,91010,VECT
ANAIS,16560,90011,VECT
ANGEAC-CHAMPAGNE,16130,91012,VECT
ANGEAC-CHARENTE,16120,91013,VECT
ANGEDUC,16300,90014,VECT
ANGOULEME,16000,90015,VECT
ANSAC-SUR-VIENNE,16500,90016,VECT
ANVILLE,16170,90017,VECT
ARS,16130,91018,VECT
ASNIERES-SUR-NOUERE,16290,90019,VECT
AUBETERRE-SUR-DRONNE,16390,90020,VECT
AUBEVILLE,16250,90021,IMAG
AUGE SAINT MEDARD,16170,90339,VECT
AUNAC,16460,90023,VECT
AUSSAC-VADALLE,16560,90024,VECT
BAIGNES-SAINTE-RADEGONDE,16360,90025,VECT
BALZAC,16430,90026,VECT
BARBEZIERES,16140,90027,VECT
BARBEZIEUX SAINT HILAIRE,16300,90028,VECT
BARDENAC,16210,90029,VECT
BARRET,16300,90030,VECT
BARRO,16700,90031,IMAG
BASSAC,16120,91032,VECT
BAYERS,16460,90033,VECT
BAZAC,16210,90034,VECT
BEAULIEU-SUR-SONNETTE,16450,90035,VECT
BECHERESSE,16250,90036,VECT
BELLON,16210,90037,VECT
BENEST,16350,90038,VECT
BERNAC,16700,90039,IMAG
BERNEUIL,16480,90040,VECT
BESSAC,16250,90041,IMAG
BESSE,16140,90042,VECT
BIGNAC,16170,90043,VECT
BIOUSSAC,16700,90044,IMAG
BIRAC,16120,91045,IMAG
BLANZAC PORCHERESSE,16250,90046,VECT
BLANZAGUET-SAINT-CYBARD,16320,90047,VECT
BOISBRETEAU,16480,90048,VECT
BONNES,16390,90049,IMAG
BONNEUIL,16120,91050,IMAG
BONNEVILLE,16170,90051,VECT
BORS-DE-BAIGNES,16360,90053,VECT
BORS-DE-MONTMOREAU,16190,90052,IMAG
BOUEX,16410,90055,VECT
BOURG-CHARENTE,16200,91056,VECT
BOUTEVILLE,16120,91057,IMAG
BOUTIERS-SAINT-TROJAN,16100,91058,VECT
BRETTES,16240,90059,VECT
BREVILLE,16370,91060,VECT
BRIE,16590,90061,VECT
BRIE SOUS BARBEZIEUX,16300,90062,VECT
BRIE SOUS CHALAIS,16210,90063,VECT
BRIGUEUIL,16420,90064,VECT
BRILLAC,16500,90065,VECT
BROSSAC,16480,90066,VECT
BUNZAC,16110,90067,VECT
CELLEFROUIN,16260,90068,VECT
CELLETTES,16230,90069,VECT
CHABANAIS,16150,90070,VECT
CHABRAC,16150,90071,VECT
CHADURIE,16250,90072,IMAG
CHALAIS,16210,90073,VECT
CHALLIGNAC,16300,90074,VECT
CHAMPAGNE VIGNY,16250,90075,IMAG
CHAMPAGNE-MOUTON,16350,90076,VECT
CHAMPMILLON,16290,90077,VECT
CHAMPNIERS,16430,90078,VECT
CHANTILLAC,16360,90079,VECT
CHARMANT,16320,90082,IMAG
CHARME,16140,90083,VECT
CHARRAS,16380,90084,IMAG
CHASSENEUIL-SUR-BONNIEURE,16260,90085,VECT
CHASSENON,16150,90086,VECT
CHASSIECQ,16350,90087,VECT
CHASSORS,16200,91088,VECT
CHATEAUBERNARD,16100,91089,VECT
CHATEAUNEUF-SUR-CHARENTE,16120,91090,VECT
CHATIGNAC,16480,90091,VECT
CHAVENAT,16320,90092,IMAG
CHAZELLES,16380,90093,VECT
CHENOMMET,16460,90094,VECT
CHENON,16460,90095,VECT
CHERVES RICHEMONT,16370,91097,VECT
CHERVES-CHATELARS,16310,90096,VECT
CHILLAC,16480,90099,VECT
CHIRAC,16150,90100,VECT
CLAIX,16440,90101,VECT
COGNAC,16100,91102,VECT
COMBIERS,16320,90103,IMAG
CONDAC,16700,90104,IMAG
CONDEON,16360,90105,VECT
CONFOLENS,16500,90106,VECT
COULGENS,16560,90107,VECT
COULONGES,16330,90108,VECT
COURBILLAC,16200,90109,VECT
COURCOME,16240,90110,VECT
COURGEAC,16190,90111,IMAG
COURLAC,16210,90112,VECT
COUTURE,16460,90114,VECT
CRESSAC SAINT GENIS,16250,90115,IMAG
CRITEUIL-LA-MAGDELEINE,16300,91116,VECT
CURAC,16210,90117,VECT
DEVIAT,16190,90118,IMAG
DIGNAC,16410,90119,VECT
DIRAC,16410,90120,VECT
DOUZAT,16290,90121,VECT
EBREON,16140,90122,VECT
ECHALLAT,16170,90123,VECT
ECURAS,16220,90124,IMAG
EDON,16320,90125,VECT
EMPURE,16240,90127,VECT
EPENEDE,16490,90128,VECT
ERAVILLE,16120,91129,VECT
ESSE,16500,90131,VECT
ETAGNAC,16150,90132,VECT
ETRIAC,16250,90133,IMAG
EXIDEUIL,16150,90134,VECT
EYMOUTHIERS,16220,90135,IMAG
FEUILLADE,16380,90137,IMAG
FLEAC,16730,90138,VECT
FLEURAC,16200,91139,VECT
FONTCLAIREAU,16230,90140,VECT
FONTENILLE,16230,90141,VECT
FOUQUEBRUNE,16410,90143,VECT
FOUQUEURE,16140,90144,VECT
FOUSSIGNAC,16200,91145,VECT
GARAT,16410,90146,VECT
GARDES-LE-PONTAROUX,16320,90147,IMAG
GENAC,16170,90148,VECT
GENOUILLAC,16270,90149,VECT
GENSAC-LA-PALLUE,16130,91150,VECT
GENTE,16130,91151,VECT
GIMEUX,16130,91152,VECT
GOND PONTOUVRE,16160,90154,VECT
GONDEVILLE,16200,91153,VECT
GOURVILLE,16170,90156,VECT
GRASSAC,16380,90158,IMAG
GRAVES-SAINT-AMANT,16120,91297,VECT
GUIMPS,16300,90160,VECT
GUIZENGEARD,16480,90161,VECT
GURAT,16320,90162,IMAG
HIERSAC,16290,90163,VECT
HIESSE,16490,90164,VECT
HOULETTE,16200,91165,VECT
JARNAC,16200,91167,VECT
JAULDES,16560,90168,VECT
JAVREZAC,16100,91169,VECT
JUIGNAC,16190,90170,IMAG
JUILLAC-LE-COQ,16130,91171,VECT
JUILLAGUET,16320,90172,IMAG
JUILLE,16230,90173,VECT
JULIENNE,16200,91174,VECT
JURIGNAC,16250,90175,VECT
LA CHAPELLE,16140,90081,VECT
LA CHEVRERIE,16240,90098,VECT
LA COURONNE,16400,90113,VECT
LA FAYE,16700,90136,VECT
LA FORET DE TESSE,16240,90142,VECT
LA MAGDELEINE,16240,90197,VECT
LA PERUSE,16270,90259,VECT
LA ROCHEFOUCAULD,16110,90281,VECT
