ACY ROMANCE,08300,6A001,IMAG
AIGLEMONT,08090,6B003,VECT
AIRE,08190,6A004,IMAG
ALINCOURT,08310,6A005,IMAG
ALLAND HUY ET SAUSSEUIL,08130,6E006,IMAG
AMAGNE,08300,6A008,IMAG
AMBLIMONT,08210,6C009,IMAG
AMBLY-FLEURY,08130,6A010,IMAG
ANCHAMPS,08500,6B011,IMAG
ANGECOURT,08450,6C013,IMAG
ANNELLES,08310,6A014,IMAG
ANTHENY,08260,6B015,IMAG
AOUSTE,08290,6B016,IMAG
APREMONT SUR AIRE,08250,6E017,IMAG
ARDEUIL-ET-MONTFAUXELLES,08400,6E018,IMAG
ARNICOURT,08300,6A021,IMAG
ARREUX,08090,6B022,IMAG
ARTAISE-LE-VIVIER,08390,6C023,IMAG
ASFELD,08190,6A024,IMAG
ATTIGNY,08130,6E025,IMAG
AUBIGNY LES POTHEES,08150,6B026,IMAG
AUBONCOURT VAUZELLES,08270,6A027,IMAG
AUBRIVES,08320,6B028,VECT
AUFLANCE,08370,6C029,IMAG
AUGE,08380,6B030,IMAG
AURE,08400,6E031,IMAG
AUSSONCE,08310,6A032,IMAG
AUTHE,08240,6E033,IMAG
AUTRECOURT-ET-POURRON,08210,6C034,IMAG
AUTRUCHE,08240,6E035,IMAG
AUTRY,08250,6E036,IMAG
AUVILLERS LES FORGES,08260,6B037,IMAG
AVANCON,08300,6A038,IMAG
AVAUX,08190,6A039,IMAG
BAALONS,08430,6B041,IMAG
BALAIVES-ET-BUTZ,08160,6B042,IMAG
BALAN,08200,6C043,VECT
BALHAM,08190,6A044,IMAG
BALLAY,08400,6E045,IMAG
BANOGNE RECOUVRANCE,08220,6A046,IMAG
BAR LES BUZANCY,08240,6E049,IMAG
BARBAISE,08430,6B047,IMAG
BARBY,08300,6A048,IMAG
BAYONVILLE,08240,6E052,IMAG
BAZEILLES,08140,6C053,IMAG
BEAUMONT-EN-ARGONNE,08210,6C055,IMAG
BEFFU-ET-LE-MORTHOMME,08250,6E056,IMAG
BELLEVILLE ET CHATILLON,08240,6E057,IMAG
BELVAL,08090,6B058,IMAG
BELVAL BOIS DES DAMES,08240,6E059,IMAG
BERGNICOURT,08300,6A060,IMAG
BERTONCOURT,08300,6A062,IMAG
BIERMES,08300,6A064,IMAG
BIEVRES,08370,6C065,IMAG
BIGNICOURT,08310,6A066,IMAG
BLAGNY,08110,6C067,IMAG
BLANCHEFOSSE ET BAY,08290,6B069,IMAG
BLANZY-LA-SALONNAISE,08190,6A070,IMAG
BLOMBAY,08260,6B071,IMAG
BOGNY SUR MEUSE,08120,6B081,VECT
BOSSEVAL-ET-BRIANCOURT,08350,6C072,VECT
BOSSUS LES RUMIGNY,08290,6B073,IMAG
BOUCONVILLE,08250,6E074,IMAG
BOULT AUX BOIS,08240,6E075,IMAG
BOULZICOURT,08410,6B076,IMAG
BOURCQ,08400,6E077,IMAG
BOURG FIDELE,08230,6B078,VECT
BOUTANCOURT,08160,6B079,IMAG
BOUVELLEMONT,08430,6B080,IMAG
BRECY BRIERES,08400,6E082,IMAG
BREVILLY,08140,6C083,IMAG
BRIENNE-SUR-AISNE,08190,6A084,IMAG
BRIEULLES-SUR-BAR,08240,6E085,IMAG
BRIQUENAY,08240,6E086,IMAG
BROGNON,08380,6B087,IMAG
BULSON,08450,6C088,IMAG
BUZANCY,08240,6E089,IMAG
CARIGNAN,08110,6C090,IMAG
CAUROY,08310,6E092,IMAG
CERNION,08260,6B094,VECT
CHAGNY,08430,6B095,IMAG
CHALANDRY ELAIRE,08160,6B096,IMAG
CHALLERANGE,08400,6E097,IMAG
CHAMPIGNEULLE,08250,6E098,IMAG
CHAMPIGNEUL-SUR-VENCE,08430,6B099,IMAG
CHAMPLIN,08260,6B100,IMAG
CHAPPES,08220,6A102,IMAG
CHARBOGNE,08130,6E103,IMAG
CHARDENY,08400,6E104,IMAG
CHARLEVILLE MEZIERES,08000,6B105,VECT
CHARNOIS,08600,6B106,VECT
CHATEAU PORCIEN,08360,6A107,IMAG
CHATEL CHEHERY,08250,6E109,IMAG
CHAUMONT PORCIEN,08220,6A113,IMAG
CHEHERY,08350,6C114,IMAG
CHEMERY SUR BAR,08450,6C115,IMAG
CHESNOIS AUBONCOURT,08270,6A117,IMAG
CHEVEUGES,08350,6C119,IMAG
CHEVIERES,08250,6E120,IMAG
CHILLY,08260,6B121,IMAG
CHOOZ,08600,6B122,VECT
CHUFFILLY-ROCHE,08130,6E123,IMAG
CLAVY WARBY,08460,6B124,IMAG
CLIRON,08090,6B125,IMAG
CONDE LES AUTRY,08250,6E128,IMAG
CONDE LES HERPY,08360,6A126,IMAG
CONTREUVE,08400,6E130,IMAG
CORNAY,08250,6E131,IMAG
CORNY MACHEROMENIL,08270,6A132,IMAG
COUCY,08300,6A133,IMAG
COULOMMES-ET-MARQUENY,08130,6E134,IMAG
DAIGNY,08140,6C136,VECT
DAMOUZY,08090,6B137,IMAG
DEVILLE,08800,6B139,IMAG
DOM LE MESNIL,08160,6B140,IMAG
DOMMERY,08460,6B141,IMAG
DONCHERY,08350,6C142,VECT
DOUMELY BEGNY,08220,6A143,IMAG
DOUX,08300,6A144,IMAG
DOUZY,08140,6C145,IMAG
DRAIZE,08220,6A146,IMAG
DRICOURT,08310,6E147,IMAG
ECLY,08300,6A150,IMAG
ECORDAL,08130,6E151,IMAG
ELAN,08160,6B152,IMAG
ESCOMBRES-ET-LE-CHESNOIS,08110,6C153,IMAG
ESTREBAY,08260,6B154,IMAG
ETALLE,08260,6B155,IMAG
ETEIGNIERES,08260,6B156,IMAG
ETREPIGNY,08160,6B158,IMAG
EUILLY ET LOMBUT,08210,6C159,IMAG
EVIGNY,08090,6B160,IMAG
EXERMONT,08250,6E161,IMAG
FAGNON,08090,6B162,IMAG
FAISSAULT,08270,6A163,IMAG
FALAISE,08400,6E164,IMAG
FAUX,08270,6A165,IMAG
FEPIN,08170,6B166,VECT
FLAIGNES HAVYS,08260,6B169,VECT
FLEIGNEUX,08200,6C170,VECT
FLEVILLE,08250,6E171,IMAG
FLIGNY,08380,6B172,IMAG
FLIZE,08160,6B173,IMAG
FLOING,08200,6C174,VECT
FOISCHES,08600,6B175,VECT
FOSSE,08240,6E176,IMAG
FRAILLICOURT,08220,6A178,IMAG
FRANCHEVAL,08140,6C179,VECT
FROMELENNES,08600,6B183,VECT
FROMY,08370,6C184,IMAG
FUMAY,08170,6B185,VECT
GERMONT,08240,6E186,IMAG
GERNELLE,08440,6B187,IMAG
GESPUNSART,08700,6B188,VECT
GIRONDELLE,08260,6B189,IMAG
GIVET,08600,6B190,VECT
GIVONNE,08200,6C191,VECT
GIVRON,08220,6A192,IMAG
GIVRY,08130,6E193,IMAG
GLAIRE,08200,6C194,VECT
GOMONT,08190,6A195,IMAG
GRANDCHAMP,08270,6A196,IMAG
GRANDHAM,08250,6E197,IMAG
GRANDPRE,08250,6E198,IMAG
GRIVY LOISY,08400,6E200,IMAG
GRUYERES,08430,6B201,IMAG
GUE D HOSSUS,08230,6B202,IMAG
GUIGNICOURT SUR VENCE,08430,6B203,IMAG
GUINCOURT,08130,6E204,IMAG
HAGNICOURT,08430,6A205,IMAG
HAM LES MOINES,08090,6B206,IMAG
HAM SUR MEUSE,08600,6B207,VECT
HANNAPPES,08290,6B208,IMAG
HANNOGNE SAINT MARTIN,08160,6B209,IMAG
HANNOGNE SAINT REMY,08220,6A210,IMAG
HARAUCOURT,08450,6C211,IMAG
HARCY,08150,6B212,IMAG
HARGNIES,08170,6B214,VECT
HARRICOURT,08240,6E215,IMAG
HAUDRECY,08090,6B216,IMAG
HAULME,08800,6B217,IMAG
HAUTEVILLE,08300,6A219,IMAG
HAUVINE,08310,6E220,IMAG
HAYBES,08170,6B222,VECT
HERBEUVAL,08370,6C223,IMAG
HERPY L ARLESIENNE,08360,6A225,IMAG
HIERGES,08320,6B226,VECT
HOUDILCOURT,08190,6A229,IMAG
HOULDIZY,08090,6B230,IMAG
ILLY,08200,6C232,VECT
IMECOURT,08240,6E233,IMAG
INAUMONT,08300,6A234,VECT
ISSANCOURT-ET-RUMEL,08440,6B235,IMAG
JANDUN,08430,6B236,IMAG
JOIGNY SUR MEUSE,08700,6B237,IMAG
JONVAL,08130,6E238,IMAG
JUNIVILLE,08310,6A239,IMAG
JUSTINE HERBIGNY,08270,6A240,IMAG
L ECAILLE,08300,6A148,IMAG
L ECHELLE,08150,6B149,IMAG
LA BERLIERE,08240,6E061,IMAG
LA BESACE,08450,6C063,IMAG
LA CHAPELLE,08200,6C101,VECT
LA CROIX-AUX-BOIS,08400,6E135,IMAG
LA FEREE,08290,6B167,IMAG
LA FERTE-SUR-CHIERS,08370,6C168,IMAG
LA FRANCHEVILLE,08000,6B180,IMAG
LA GRANDVILLE,08700,6B199,IMAG
LA HORGNE,08430,6B228,IMAG
LA MONCELLE,08140,6C294,VECT
LA NEUVILLE EN TOURNE A FUY,08310,6A320,IMAG
LA NEUVILLE-A-MAIRE,08450,6C317,IMAG
LA NEUVILLE-AUX-JOUTES,08380,6B318,IMAG
LA NEUVILLE-LES-WASIGNY,08270,6A323,IMAG
LA ROMAGNE,08220,6A369,IMAG
LA SABOTTERIE,08130,6E374,IMAG
LAIFOUR,08800,6B242,IMAG
LALOBBE,08460,6B243,IMAG
LAMETZ,08130,6E244,IMAG
LANCON,08250,6E245,IMAG
LANDRES-ET-SAINT-GEORGES,08240,6E246,VECT
LANDRICHAMPS,08600,6B247,VECT
LAUNOIS-SUR-VENCE,08430,6B248,VECT
LAVAL MORENCY,08150,6B249,IMAG
LE CHATELET-SUR-RETOURNE,08300,6A111,IMAG
LE CHATELET-SUR-SORMONNE,08150,6B110,IMAG
LE CHESNE,08390,6E116,IMAG
LE FRETY,08290,6B182,IMAG
LE MONT-DIEU,08390,6C300,IMAG
LE THOUR,08190,6A451,IMAG
LEFFINCOURT,08310,6E250,IMAG
LEPRON LES VALLEES,08150,6B251,IMAG
LES ALLEUX,08400,6E007,IMAG
LES AYVELLES,08000,6B040,VECT
LES DEUX-VILLES,08110,6C138,IMAG
LES GRANDES-ARMOISES,08390,6E019,IMAG
LES HAUTES-RIVIERES,08800,6B218,VECT
LES MAZURES,08500,6B284,IMAG
LES PETITES ARMOISES,08390,6E020,IMAG
LETANNE,08210,6C252,IMAG
LIART,08290,6B254,IMAG
LINAY,08110,6C255,IMAG
LIRY,08400,6E256,IMAG
LOGNY BOGNY,08150,6B257,IMAG
LONGWE,08400,6E259,IMAG
LONNY,08150,6B260,IMAG
LOUVERGNY,08390,6E261,IMAG
LUCQUY,08300,6A262,IMAG
LUMES,08440,6B263,VECT
MACHAULT,08310,6E264,IMAG
MAIRY,08140,6C267,IMAG
MAISONCELLE-ET-VILLERS,08450,6C268,IMAG
MALANDRY,08370,6C269,IMAG
MANRE,08400,6E271,IMAG
MARANWEZ,08460,6B272,IMAG
MARBY,08260,6B273,IMAG
MARCQ,08250,6E274,IMAG
MARGNY,08370,6C275,IMAG
MARGUT,08370,6C276,IMAG
MARLEMONT,08290,6B277,IMAG
MARQUIGNY,08390,6E278,IMAG
MARS SOUS BOURCQ,08400,6E279,IMAG
MARVAUX-VIEUX,08400,6E280,IMAG
MATTON-ET-CLEMENCY,08110,6C281,IMAG
