AILLEVILLE,10200,70002,VECT
AIX EN OTHE,10160,70003,IMAG
ALLIBAUDIERES,10700,70004,VECT
AMANCE,10140,70005,IMAG
ARCIS SUR AUBE,10700,70006,VECT
ARCONVILLE,10200,70007,IMAG
ARGANCON,10140,70008,IMAG
ARRELLES,10340,70009,IMAG
ARREMBECOURT,10330,70010,IMAG
ARRENTIERES,10200,70011,IMAG
ARSONVAL,10200,70012,VECT
ASSENAY,10320,70013,VECT
ASSENCIERES,10220,70014,VECT
AUBETERRE,10150,70015,VECT
AULNAY,10240,70017,VECT
AUXON,10130,70018,IMAG
AVANT LES MARCILLY,10400,70020,IMAG
AVANT LES RAMERUPT,10240,70021,IMAG
AVIREY LINGEY,10340,70022,IMAG
AVON LA PEZE,10290,70023,IMAG
AVREUIL,10130,70024,IMAG
BAGNEUX LA FOSSE,10340,70025,IMAG
BAILLY LE FRANC,10330,70026,IMAG
BALIGNICOURT,10330,70027,IMAG
BALNOT LA GRANGE,10210,70028,IMAG
BALNOT SUR LAIGNES,10110,70029,IMAG
BAR SUR AUBE,10200,70033,IMAG
BAR SUR SEINE,10110,70034,IMAG
BARBEREY SAINT SULPICE,10600,70030,VECT
BARBUISE,10400,70031,IMAG
BAROVILLE,10200,70032,IMAG
BAYEL,10310,70035,IMAG
BERCENAY EN OTHE,10190,70037,VECT
BERCENAY LE HAYER,10290,70038,IMAG
BERGERES,10200,70039,IMAG
BERNON,10130,70040,IMAG
BERTIGNOLLES,10110,70041,IMAG
BERULLE,10160,70042,IMAG
BESSY,10170,70043,VECT
BETIGNICOURT,10500,70044,IMAG
BEUREY,10140,70045,VECT
BLAINCOURT SUR AUBE,10500,70046,IMAG
BLIGNICOURT,10500,70047,IMAG
BLIGNY,10200,70048,IMAG
BOSSANCOURT,10140,70050,IMAG
BOUILLY,10320,70051,VECT
BOULAGES,10380,70052,IMAG
BOURANTON,10270,70053,VECT
BOURDENAY,10290,70054,IMAG
BOURGUIGNONS,10110,70055,IMAG
BOUY LUXEMBOURG,10220,70056,IMAG
BOUY SUR ORVIN,10400,70057,IMAG
BRAGELOGNE-BEAUVOIR,10340,70058,IMAG
BRAUX,10500,70059,IMAG
BREVIANDES,10450,70060,VECT
BREVONNES,10220,70061,IMAG
BRIEL SUR BARSE,10140,70062,IMAG
BRIENNE LA VIEILLE,10500,70063,IMAG
BRIENNE LE CHATEAU,10500,70064,IMAG
BRILLECOURT,10240,70065,IMAG
BUCEY EN OTHE,10190,70066,VECT
BUCHERES,10800,70067,VECT
BUXEUIL,10110,70068,IMAG
BUXIERES SUR ARCE,10110,70069,IMAG
CELLES SUR OURCE,10110,70070,IMAG
CHACENAY,10110,70071,IMAG
CHALETTE SUR VOIRE,10500,70073,IMAG
CHAMOY,10130,70074,IMAG
CHAMP SUR BARSE,10140,70078,IMAG
CHAMPFLEURY,10700,70075,IMAG
CHAMPIGNOL LEZ MONDEVILLE,10200,70076,IMAG
CHAMPIGNY SUR AUBE,10700,70077,IMAG
CHANNES,10340,70079,IMAG
CHAOURCE,10210,70080,IMAG
CHAPELLE VALLON,10700,70082,VECT
CHAPPES,10260,70083,IMAG
CHARMONT-SOUS-BARBUISE,10150,70084,VECT
CHARMOY,10290,70085,IMAG
CHARNY LE BACHOT,10380,70086,IMAG
CHASEREY,10210,70087,IMAG
CHATRES,10510,70089,IMAG
CHAUCHIGNY,10170,70090,VECT
CHAUDREY,10240,70091,IMAG
CHAUFFOUR LES BAILLY,10110,70092,IMAG
CHAUMESNIL,10500,70093,IMAG
CHAVANGES,10330,70094,IMAG
CHENNEGY,10190,70096,VECT
CHERVEY,10110,70097,IMAG
CHESLEY,10210,70098,IMAG
CHESSY LES PRES,10130,70099,IMAG
CLEREY,10390,70100,VECT
COCLOIS,10240,70101,IMAG
COLOMBE LA FOSSE,10200,70102,IMAG
COLOMBE LE SEC,10200,70103,IMAG
CORMOST,10800,70104,IMAG
COURCELLES SUR VOIRE,10500,70105,IMAG
COURCEROY,10400,70106,IMAG
COURSAN EN OTHE,10130,70107,IMAG
COURTAOULT,10130,70108,IMAG
COURTENOT,10260,70109,IMAG
COURTERANGES,10270,70110,IMAG
COURTERON,10250,70111,IMAG
COUSSEGREY,10210,70112,IMAG
COUVIGNON,10200,70113,IMAG
CRANCEY,10100,70114,VECT
CRENEY PRES TROYES,10150,70115,VECT
CRESANTIGNES,10320,70116,IMAG
CRESPY LE NEUF,10500,70117,IMAG
CUNFIN,10360,70119,IMAG
CUSSANGY,10210,70120,IMAG
DAMPIERRE,10240,70121,IMAG
DAVREY,10130,70122,IMAG
DIENVILLE,10500,70123,IMAG
DIERREY ST JULIEN,10190,70124,VECT
DIERREY ST PIERRE,10190,70125,VECT
DOLANCOURT,10200,70126,IMAG
DOMMARTIN LE COQ,10240,70127,IMAG
DONNEMENT,10330,70128,IMAG
DOSCHES,10220,70129,IMAG
DOSNON,10700,70130,IMAG
DROUPT SAINT BASLE,10170,70131,IMAG
DROUPT SAINTE MARIE,10170,70132,IMAG
EAUX PUISEAUX,10130,70133,IMAG
ECHEMINES,10350,70134,VECT
ECLANCE,10200,70135,IMAG
EGUILLY SOUS BOIS,10110,70136,IMAG
ENGENTE,10200,70137,IMAG
EPAGNE,10500,70138,IMAG
EPOTHEMONT,10500,70139,IMAG
ERVY LE CHATEL,10130,70140,IMAG
ESSOYES,10360,70141,IMAG
ESTISSAC,10190,70142,IMAG
ETOURVY,10210,70143,IMAG
ETRELLES SUR AUBE,10170,70144,IMAG
FAUX VILLECERF,10290,70145,VECT
FAY LES MARCILLY,10290,70146,IMAG
FAYS LA CHAPELLE,10320,70147,IMAG
FERREUX-QUINCEY,10400,70148,IMAG
FEUGES,10150,70149,VECT
FONTAINE,10200,70150,IMAG
FONTAINE LES GRES,10280,70151,VECT
FONTAINE MACON,10400,70153,IMAG
FONTENAY-DE-BOSSERY,10400,70154,IMAG
FONTETTE,10360,70155,IMAG
FONTVANNES,10190,70156,VECT
FOUCHERES,10260,70158,IMAG
FRALIGNES,10110,70159,IMAG
FRAVAUX,10200,70160,IMAG
FRESNAY,10200,70161,IMAG
FRESNOY LE CHATEAU,10270,70162,VECT
FULIGNY,10200,70163,IMAG
GELANNES,10100,70164,VECT
GERAUDOT,10220,70165,IMAG
GRANDVILLE,10700,70167,IMAG
GUMERY,10400,70169,IMAG
GYE SUR SEINE,10250,70170,IMAG
HAMPIGNY,10500,70171,IMAG
HERBISSE,10700,70172,VECT
ISLE AUBIGNY,10240,70174,IMAG
ISLE AUMONT,10800,70173,VECT
JASSEINES,10330,70175,IMAG
JAUCOURT,10200,70176,VECT
JAVERNANT,10320,70177,IMAG
JESSAINS,10140,70178,IMAG
JEUGNY,10320,70179,IMAG
JONCREUIL,10330,70180,IMAG
JULLY SUR SARCE,10260,70181,IMAG
JUVANCOURT,10310,70182,IMAG
JUVANZE,10140,70183,IMAG
JUZANVIGNY,10500,70184,IMAG
