BRAS-PANON,97412,ZV402,VECT
CILAOS,97413,ZW424,VECT
ENTRE DEUX,97414,ZW403,VECT
L ETANG SALE,97427,ZW404,VECT
LA PLAINE DES PALMISTES,97431,ZV406,VECT
LA POSSESSION,97419,ZV408,VECT
LE PORT,97420,ZV407,VECT
LE TAMPON,97418,ZW422,VECT
LES AVIRONS,97425,ZW401,VECT
LES TROIS BASSINS,97426,ZV423,VECT
PETITE ILE,97429,ZW405,VECT
SAINT DENIS,97417,ZV411,VECT
SAINT PHILIPPE,97442,ZW417,VECT
SAINT PIERRE,97432,ZW416,VECT
SAINT-ANDRE,97440,ZV409,VECT
SAINT-BENOIT,97470,ZV410,VECT
SAINTE MARIE,97438,ZV418,VECT
SAINTE ROSE,97439,ZV419,VECT
SAINTE SUZANNE,97441,ZV420,VECT
SAINT-JOSEPH,97480,ZW412,VECT
SAINT-LEU,97424,ZV413,VECT
SAINT-LOUIS,97450,ZW414,VECT
SAINT-PAUL,97435,ZV415,VECT
SALAZIE,97433,ZV421,VECT
