AAST,64460,PB001,IMAG
ABERE,64160,PB002,IMAG
ABIDOS,64150,PB003,VECT
ABITAIN,64390,PB004,IMAG
ABOS,64360,PB005,VECT
ACCOUS,64490,PB006,IMAG
AGNOS,64400,PB007,VECT
AHAXE-ALCIETTE-BASCASSAN,64220,PA008,VECT
AHETZE,64210,PA009,VECT
AICIRITS CAMOU SUHAST,64120,PA010,VECT
AINCILLE,64220,PA011,VECT
AINHARP,64130,PB012,IMAG
AINHICE-MONGELOS,64220,PA013,VECT
AINHOA,64250,PA014,VECT
ALCAY ALCABEHETY SUNHARETT,64470,PB015,IMAG
ALDUDES,64430,PA016,VECT
ALOS-SIBAS-ABENSE,64470,PB017,IMAG
AMENDEUIX-ONEIX,64120,PA018,VECT
AMOROTS-SUCCOS,64120,PA019,VECT
ANCE,64570,PB020,IMAG
ANDOINS,64420,PB021,IMAG
ANDREIN,64390,PB022,IMAG
ANGAIS,64510,PB023,IMAG
ANGLET,64600,PA024,VECT
ANGOUS,64190,PB025,VECT
ANHAUX,64220,PA026,VECT
ANOS,64160,PB027,IMAG
ANOYE,64350,PB028,IMAG
ARAMITS,64570,PB029,IMAG
ARANCOU,64270,PA031,VECT
ARAUJUZON,64190,PB032,VECT
ARAUX,64190,PB033,VECT
ARBERATS-SILLEGUE,64120,PA034,VECT
ARBONNE,64210,PA035,VECT
ARBOUET-SUSSAUTE,64120,PA036,VECT
ARBUS,64230,PB037,VECT
ARCANGUES,64200,PA038,VECT
AREN,64400,PB039,IMAG
ARESSY,64320,PB041,VECT
ARETTE,64570,PB040,IMAG
ARGAGNON,64300,PB042,VECT
ARGELOS,64450,PB043,IMAG
ARGET,64410,PB044,IMAG
ARHANSUS,64120,PA045,VECT
ARMENDARITS,64640,PA046,VECT
ARNEGUY,64220,PA047,VECT
ARNOS,64370,PB048,VECT
AROUE-ITHOROTS-OLHAIBY,64120,PA049,VECT
ARRAST-LARREBIEU,64130,PB050,IMAG
ARRAUTE-CHARRITTE,64120,PA051,VECT
ARRICAU BORDES,64350,PB052,IMAG
ARRIEN,64420,PB053,VECT
ARROS DE NAY,64800,PB054,IMAG
ARROSES,64350,PB056,IMAG
ARTHEZ D&#039;ASSON,64800,PB058,IMAG
ARTHEZ DE BEARN,64370,PB057,VECT
