AIGLUN,04510,50001,VECT
ALLEMAGNE-EN-PROVENCE,04500,50004,VECT
ALLONS,04170,50005,VECT
ALLOS,04260,50006,VECT
ANGLES,04170,50007,VECT
ANNOT,04240,50008,VECT
ARCHAIL,04420,50009,VECT
AUBENAS LES ALPES,04110,50012,VECT
AUBIGNOSC,04200,50013,VECT
AUTHON,04200,50016,VECT
AUZET,04140,50017,VECT
BANON,04150,50018,VECT
BARCELONNETTE,04400,50019,VECT
BARLES,04140,50020,VECT
BARRAS,04380,50021,VECT
BARREME,04330,50022,VECT
BAYONS,04250,50023,VECT
BEAUJEU,04420,50024,VECT
BEAUVEZER,04370,50025,VECT
BELLAFFAIRE,04250,50026,VECT
BEVONS,04200,50027,VECT
BEYNES,04270,50028,VECT
BLIEUX,04330,50030,VECT
BRAS-D ASSE,04270,50031,VECT
BRAUX,04240,50032,VECT
BRUNET,04210,50035,VECT
CASTELLANE,04120,50039,VECT
CASTELLET-LES-SAUSSES,04320,50042,VECT
CERESTE,04280,50045,VECT
CHAMPTERCIER,04660,50047,VECT
CHATEAU ARNOUX SAINT AUBAN,04600,50049,VECT
CHATEAUFORT,04250,50050,VECT
CHATEAUNEUF MIRAVAIL,04200,50051,VECT
CHATEAUNEUF VAL ST DONAT,04200,50053,VECT
CHATEAUREDON,04270,50054,VECT
CHAUDON-NORANTE,04330,50055,VECT
CLAMENSANE,04250,50057,VECT
CLARET,05110,50058,VECT
CLUMANC,04330,50059,VECT
COLMARS,04370,50061,VECT
CORBIERES,04220,50063,VECT
CRUIS,04230,50065,VECT
CURBANS,05110,50066,VECT
CUREL,04200,50067,VECT
DAUPHIN,04300,50068,VECT
DEMANDOLX,04120,50069,VECT
DIGNE-LES-BAINS,04000,50070,VECT
DRAIX,04420,50072,VECT
ENCHASTRAYES,04400,50073,VECT
ENTRAGES,04000,50074,VECT
ENTREPIERRES,04200,50075,VECT
ENTREVAUX,04320,50076,VECT
ENTREVENNES,04700,50077,VECT
ESPARRON DE VERDON,04800,50081,VECT
ESTOUBLON,04270,50084,VECT
FAUCON-DE-BARCELONNETTE,04400,50086,VECT
FAUCON-DU-CAIRE,04250,50085,VECT
FONTIENNE,04230,50087,VECT
FORCALQUIER,04300,50088,VECT
GANAGOBIE,04310,50091,VECT
GIGORS,04250,50093,VECT
GREOUX-LES-BAINS,04800,50094,VECT
HAUTES DUYES,04380,50177,VECT
JAUSIERS,04850,50096,VECT
L ESCALE,04160,50079,VECT
L HOSPITALET,04150,50095,VECT
LA BREOLE,04340,50033,VECT
LA BRILLANNE,04700,50034,VECT
LA CONDAMINE CHATELARD,04530,50062,VECT
LA GARDE,04120,50092,VECT
LA JAVIE,04420,50097,VECT
LA MOTTE DU CAIRE,04250,50134,VECT
LA MURE ARGENS,04170,50136,VECT
LA PALUD SUR VERDON,04120,50144,VECT
LA ROBINE SUR GALABRE,04000,50167,VECT
LA ROCHEGIRON,04150,50169,VECT
LA ROCHETTE,06260,50170,VECT
LAMBRUISSE,04170,50099,VECT
LARCHE,04530,50100,VECT
LARDIERS,04230,50101,VECT
